emp_id,First Name,Middle Initial,Last Name,E Mail,Date of Birth,Date of Joining,SSN,Phone Number,User Name,Password
526540,Angelique,K,Goodwin,angelique.goodwin@gmail.com,1964-05-15,2001-03-24,471-57-0359,212-884-7146,akgoodwin,z{d>ez%{.@
859327,Jeni,S,Shaffer,jeni.shaffer@gmail.com,1962-01-13,2015-12-10,624-85-4146,205-665-7020,jsshaffer,7U56!*!O
887387,Donald,T,Farris,donald.farris@bellsouth.net,1958-04-11,1979-11-12,097-02-3315,205-959-7879,dtfarris,rX.F{j&]&m&&X
779497,Steven,D,Rendon,steven.rendon@gmail.com,1982-04-04,2008-09-18,134-98-6566,217-858-0054,sdrendon,a+2;sx}<G]y
896517,Jenell,L,Almanza,jenell.almanza@yahoo.com,1958-07-01,1993-07-14,599-92-7345,314-893-2590,jlalmanza,Ou7RX{yT
220965,Almeta,Y,Brookins,almeta.brookins@gmail.com,1985-05-08,2017-04-25,109-98-3095,229-238-0915,aybrookins,HQHKE_+9hv
721091,Bobbie,E,Branson,bobbie.branson@hotmail.com,1996-02-10,2017-04-27,047-15-8435,216-849-6986,bebranson,tA5zrwtY9\!Y
633636,Bertram,R,Carlisle,bertram.carlisle@aol.com,1982-12-31,2012-11-02,257-99-3865,215-614-1953,brcarlisle,F4G46Phi$qF
823898,Carlton,E,Leclair,carlton.leclair@cox.net,1986-03-17,2009-01-07,044-15-4027,319-943-1308,celeclair,Kce]-Rnti6
413865,Todd,R,Slater,todd.slater@earthlink.net,1995-06-09,2017-03-07,553-99-2106,218-671-2547,trslater,EZ5}EHI4
439483,Adalberto,K,Hazel,adalberto.hazel@yahoo.co.in,1959-12-08,1995-04-27,264-99-9423,262-893-5324,akhazel,j8v|]L6g2j-T$4+
809408,Seymour,B,Nelson,seymour.nelson@hotmail.com,1996-01-21,2017-07-02,119-98-1796,215-821-4109,sbnelson,cEvcPqX[
748190,Vicente,D,Dawkins,vicente.dawkins@gmail.com,1994-06-17,2016-07-02,116-98-6696,217-567-3339,vddawkins,t\XA;6?;[c>!47c
397283,Rex,Q,Ng,rex.ng@yahoo.com,1982-08-22,2007-01-17,192-86-7823,215-352-5080,rqng,rcT|A-ba:8aZ$q
553684,Arlena,I,Clough,arlena.clough@yahoo.com,1957-10-15,2015-12-26,032-92-6090,316-737-9183,aiclough,5vI5~Zd:
495667,Cory,H,Clarke,cory.clarke@shell.com,1980-06-02,2012-04-27,731-28-8642,480-381-5936,chclarke,k2QH6T#d!
936158,Sofia,Y,Poole,sofia.poole@earthlink.net,1964-12-03,1993-07-18,126-98-9929,215-824-1223,sypoole,GLTTXR|JL0~E
537591,Samuel,G,Wendt,samuel.wendt@bellsouth.net,1976-11-25,2016-02-24,369-39-1426,229-497-4180,sgwendt,pOq-woq:}4.ubd0
909018,Virgil,R,Trowbridge,virgil.trowbridge@aol.com,1986-04-06,2016-11-21,005-13-9026,202-652-7351,vrtrowbridge,3PE>x:gOp<AY5jN
878666,Elda,Y,Champagne,elda.champagne@gmail.com,1983-05-21,2016-11-08,540-83-9723,218-621-9347,eychampagne,IawX0iQY&D
995710,Robert,G,Guinn,robert.guinn@walmart.com,1972-06-14,1997-01-08,403-73-1584,219-797-9997,rgguinn,x@xCTeXJ74*}R8
511059,Humberto,W,Sauer,humberto.sauer@yahoo.com,1989-04-11,2012-11-12,210-84-3620,231-445-8008,hwsauer,q&_|-%P-S-
754455,Anastasia,N,Childers,anastasia.childers@hotmail.com,1988-12-20,2011-02-26,753-07-4603,262-835-1119,anchilders,5G;rxDn:
489275,Collene,O,Kidd,collene.kidd@shell.com,1965-02-25,1993-08-14,704-18-2387,209-293-8759,cokidd,goocZI#~7N!7suU
500905,Harris,Z,Beavers,harris.beavers@shell.com,1970-09-14,1999-01-29,008-94-7794,239-294-7204,hzbeavers,gv8q[B?p
984409,Kathe,B,John,kathe.john@gmail.com,1992-06-15,2013-12-28,444-27-9644,216-961-7231,kbjohn,A\Pv~BOD8
812053,Ashly,E,Stanton,ashly.stanton@gmail.com,1992-12-13,2014-02-10,385-37-9974,217-304-4274,aestanton,3<u55Xj^@fy7#OS
550206,Geraldo,E,Easley,geraldo.easley@shaw.ca,1974-03-28,2002-05-06,556-99-1014,210-374-1084,geeasley,3q\|HQi9{R>IRL
728053,Leigh,R,Fite,leigh.fite@gmail.com,1967-07-16,2004-06-03,548-99-7981,217-348-2881,lrfite,3r|R05du]98pR8I
184257,Devon,I,Knox,devon.knox@gmail.com,1979-03-24,2005-09-03,344-11-4272,236-433-5011,diknox,LfKn#gT3h>
235295,Yevette,D,Mullis,yevette.mullis@gmail.com,1972-04-08,1995-10-14,031-92-8075,216-407-3106,ydmullis,quS?S>|}
767674,Irena,Z,Dang,irena.dang@gmail.com,1972-01-22,2009-02-24,636-31-2014,236-666-5736,izdang,SKR2COdtmJA
391837,Cory,L,Hayden,cory.hayden@gmail.com,1966-07-20,1992-03-31,109-98-9846,262-617-9565,clhayden,M9Nqt*&>*c5
466560,Dolores,A,Begley,dolores.begley@hotmail.com,1981-12-16,2016-03-21,019-94-6803,209-877-7013,dabegley,8e;FDv*HnOG
900756,Benjamin,O,Doss,benjamin.doss@gmail.com,1984-06-01,2010-03-31,607-87-2621,229-413-6404,bodoss,3k}8*JZ!
678628,Theron,I,Farmer,theron.farmer@gmail.com,1969-05-16,2015-07-08,430-99-8830,217-297-4629,tifarmer,0qC2c1MJ2H&@
492527,Hilton,N,Mcgehee,hilton.mcgehee@microsoft.com,1986-07-26,2009-03-18,042-15-4369,231-885-2299,hnmcgehee,8thdsXfBeBv6N
886060,Sixta,J,Beaudoin,sixta.beaudoin@gmail.com,1975-03-04,2004-02-29,399-31-6070,236-832-1401,sjbeaudoin,Hu5[dWW~hFPy34
366431,Sade,U,Shay,sade.shay@gmail.com,1994-12-06,2016-01-20,693-16-3108,405-620-5457,sushay,y>;Y[$It
331297,Shemika,E,Beckman,shemika.beckman@hotmail.com,1967-10-18,2003-02-07,625-85-6937,314-817-2178,sebeckman,LS-qdpEb1K
496541,Winfred,X,Gonzales,winfred.gonzales@aol.com,1964-03-10,2016-01-18,466-99-0813,215-259-8618,wxgonzales,Q&>Mi&B%kml34tm
