emp_id,Name Prefix,First Name,Middle Initial,Last Name,E Mail,Date of Birth,Date of Joining,SSN,Phone Number ,User Name,Password
526540,Ms.,Angelique,K,Goodwin,angelique.goodwin@gmail.com,5-15-1964,3-24-2001,471-57-0359,212-884-7146,akgoodwin,z{d>ez%{.@
859327,Ms.,Jeni,S,Shaffer,jeni.shaffer@gmail.com,1-13-1962,12-10-2015,624-85-4146,205-665-7020,jsshaffer,7U56!*!O
887387,Ms.,Donald,T,Farris,donald.farris@bellsouth.net,4-11-1958,11-12-1979,097-02-3315,205-959-7879,dtfarris,rX.F{j&]&m&&X
779497,Hon.,Steven,D,Rendon,steven.rendon@gmail.com,4-4-1982,9-18-2008,134-98-6566,217-858-0054,sdrendon,a+2;sx}<G]y
896517,Drs.,Jenell,L,Almanza,jenell.almanza@yahoo.com,7-1-1958,7-14-1993,599-92-7345,314-893-2590,jlalmanza,Ou7RX{yT
220965,Mrs.,Almeta,Y,Brookins,almeta.brookins@gmail.com,5-8-1985,4-25-2017,109-98-3095,229-238-0915,aybrookins,HQHKE_+9hv
721091,Prof.,Bobbie,E,Branson,bobbie.branson@hotmail.com,2-10-1996,4-27-2017,047-15-8435,216-849-6986,bebranson,tA5zrwtY9\!Y
633636,Prof.,Bertram,R,Carlisle,bertram.carlisle@aol.com,12-31-1982,11-2-2012,257-99-3865,215-614-1953,brcarlisle,F4G46Phi$qF
823898,Prof.,Carlton,E,Leclair,carlton.leclair@cox.net,3-17-1986,1-7-2009,044-15-4027,319-943-1308,celeclair,Kce]-Rnti6
413865,Mr.,Todd,R,Slater,todd.slater@earthlink.net,6-9-1995,3-7-2017,553-99-2106,218-671-2547,trslater,EZ5}EHI4
439483,Mr.,Adalberto,K,Hazel,adalberto.hazel@yahoo.co.in,12-8-1959,4-27-1995,264-99-9423,262-893-5324,akhazel,j8v|]L6g2j-T$4+
